sku,product_name,category,price_inr,width_mm,depth_mm,height_mm,installation_type,rough_in_mm,finish,collection,features,source_url,dimension_source,dimension_unit,spatial_ready,dimension_status,accessibility_rating,sustainability_rating,accessibility_basis,sustainability_basis,rating_provenance
K-29777IN-0,"Innate™ One-piece elongated smart toilet, dual-flush",smart_toilet,379999.0,429,411,620.0,,,,,"Compact, streamlined one-piece smart toilet with integrated personal cleansing | Compact elongated bowl offers added comfort while requiring less space | Fully skirted trapway simplifies cleaning | Quiet-Close™ elongated lid and seat prevents slamming | One-piece elongated smart toilet, dual-flush",https://www.kohler.co.in/p/toilets/innate-one-piece-elongated-smart-toilet-dual-flush-29777in,additional_information,mm,True,valid,92.0,90.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-5401IN-0,Veil™ Smart One-piece Toilet,smart_toilet,577999.0,670,438,533.0,,,,,"Compact, streamlined one-piece Smart Toilet with integrated personal cleansing. | Elongated bowl offers added room and comfort. | Tankless design with direct water supply.",https://www.kohler.co.in/p/toilets/veil-smart-one-piece-toilet-5401in,spec_pdf,mm,True,valid,92.0,88.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-3983IN-S-0,"Reach™ One-piece round-front toilet with skirted trapway, dual-flush",toilet,13769.0,366,724,722.0,,,,,"One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design | Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms | One-piece round-front toilet with skirted trapway, dual-flush",https://www.kohler.co.in/p/toilets/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s,additional_information,mm,True,valid,75.0,90.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-8688T-S-0,"San Raphael Grande™ One-piece elongated toilet with skirted trapway, 4.8 lpf",toilet,42839.0,521,736,624.0,,,,san raphael grande,"One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design Elongated bowl offers added room and comfort Rim-to-floor height: 39 cm (15-3/8 inches) 1.28 gpf (4.8 lpf) Left-hand trip lever | One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design | Elongated bowl offers added room and comfort | One-piece elongated toilet with skirted trapway, 4.8 lpf",https://www.kohler.co.in/p/toilets/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s,additional_information,mm,True,valid,75.0,80.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-1381T-S-0,"Veil™ One-piece elongated toilet with skirted trapway, dual-flush",toilet,28559.0,387,725,692.0,Floor-mount,,,veil,"One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design | Elongated bowl offers added room and comfort | One-piece elongated toilet with skirted trapway, dual-flush",https://www.kohler.co.in/p/toilets/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s,additional_information,mm,True,valid,92.0,90.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-31601IN-E64,Forefront™ 90 cm wall-hung bathroom vanity cabinet,vanity,102739.0,900,520,520.0,Wall-hung,,,,"Bathroom vanity cabinet Wall-hung design offers a clean, streamlined look Rounded edges to coordinate with Forefront™ bathroom sinks One left-hinged door with interior shelf and one right-side drawer | Wall-hung design offers a clean, streamlined look | Rounded edges to coordinate with Forefront™ bathroom sinks | 90 cm wall-hung bathroom vanity cabinet",https://www.kohler.co.in/p/bathroom-vanity/forefront-900-mm-wall-hung-bathroom-vanity-cabinet-31601in,additional_information,mm,True,valid,82.0,74.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-30459IN-MWF,Luxe™ 75 cm wall-hung bathroom vanity cabinet,vanity,105399.0,750,580,430.0,Wall-hung,,,,Clean and timeless design allows for use in any interior space | Pair with any vanity top cut to size and choice of KOHLER® vessel bathroom sink (sold separately) | 75 cm wall-hung bathroom vanity cabinet,https://www.kohler.co.in/p/bathroom-vanity/luxe-750-mm-wall-hung-bathroom-vanity-cabinet-30459in,additional_information,mm,True,valid,82.0,74.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-30460IN-MWF,Luxe™ 90 cm wall-hung bathroom vanity cabinet,vanity,115849.0,900,580,430.0,Wall-hung,,,,Clean and timeless design allows for use in any interior space | Pair with any vanity top cut to size and choice of KOHLER® vessel bathroom sink (sold separately) | 90 cm wall-hung bathroom vanity cabinet,https://www.kohler.co.in/p/bathroom-vanity/luxe-900-mm-wall-hung-bathroom-vanity-cabinet-30460in,additional_information,mm,True,valid,82.0,74.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-30457IN-MWF,Prologue™ 75 cm wall-hung bathroom vanity cabinet,vanity,111099.0,740,580,430.0,Wall-hung,,,,Two full-extension 12-1/2 inch (31.9 cm) soft-close drawers with integrated pull handles | Clean and timeless design allows for use in any interior space | Pair with any vanity top cut to size and choice of KOHLER® vessel bathroom sink (sold separately) | 75 cm wall-hung bathroom vanity cabinet,https://www.kohler.co.in/p/bathroom-vanity/prologue-750-mm-wall-hung-bathroom-vanity-cabinet-30457in,additional_information,mm,True,valid,82.0,74.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
K-21060IN-0,Brazn™ 58.4 cm rectangular vessel bathroom sink,basin,14279.0,407,584,178.0,,,,,Rectangular basin 58.4 cm (23 inch) x 40.6 cm (16 inch) Center drain Brass drain and color-matched brass drain cover With overflow View More | Rectangular basin 58.4 cm (23 inch) x 40.6 cm (16 inch) Center drain Brass drain and color-matched brass drain cover With overflow | 58.4 cm rectangular vessel bathroom sink,https://www.kohler.co.in/p/washbasins/brazn-vessel-bathroom-sink-21060in,additional_information,mm,True,valid,75.0,74.0,"Estimated planning score based on installation type, dimensions and spatial planning characteristics.","Estimated planning score based on available catalog features such as water-use information, product type and installation characteristics.",estimated_from_catalog
